epoch,train_loss,val_loss,avg_acc,atomic_acc,simple-context_acc,complex-context_acc,communicative_acc,transportive_acc,best_score,lr,wall_time_s
1,4.884795,3.069138,0.871461,0.830455,0.662237,0.994369,0.890265,0.979980,0.066664,6.989211e-04,1873.00
2,4.231127,2.804708,0.864735,0.831957,0.627227,0.994369,0.890265,0.979855,0.074063,6.956909e-04,1876.11
3,3.912969,2.658557,0.863073,0.831957,0.619419,0.994244,0.890265,0.979479,0.078021,6.903295e-04,1850.35
4,3.457540,2.528204,0.850921,0.833859,0.574775,0.993118,0.887387,0.965465,0.094318,6.828698e-04,3887.01
5,2.840566,2.316145,0.853243,0.829279,0.602227,0.990741,0.875876,0.968093,0.102560,6.733578e-04,3859.93
6,2.290338,2.246488,0.842668,0.828529,0.591266,0.990991,0.838338,0.964214,0.111891,6.618523e-04,3814.74
7,1.852469,2.161049,0.837783,0.820896,0.605881,0.990490,0.816441,0.955205,0.116096,6.484241e-04,3767.89
8,1.436857,2.079573,0.838554,0.832758,0.622898,0.990616,0.782407,0.964089,0.122406,6.331559e-04,3707.27
9,1.147859,1.948351,0.844214,0.811286,0.632508,0.988989,0.817693,0.970596,0.124488,6.161421e-04,3718.97
10,0.847730,2.054756,0.832232,0.835385,0.621446,0.990866,0.750500,0.962963,0.130341,5.974874e-04,3791.53
11,0.606072,1.931104,0.838453,0.839590,0.623448,0.990365,0.778153,0.960711,0.134205,5.773068e-04,3786.15
12,0.363531,2.000962,0.836622,0.821171,0.633083,0.990115,0.772773,0.965966,0.135831,5.557248e-04,3762.78
13,0.218112,2.014043,0.834575,0.846722,0.613063,0.990741,0.755631,0.966717,0.140116,5.328745e-04,3756.02
14,0.000937,2.129588,0.830220,0.852352,0.622698,0.991116,0.728103,0.956832,0.143715,5.088967e-04,3741.81
15,-0.142537,2.205356,0.829094,0.841842,0.630956,0.991491,0.715716,0.965465,0.146085,4.839392e-04,3784.18
16,-0.267791,2.179488,0.834174,0.826652,0.642643,0.990991,0.742367,0.968218,0.146085,4.581559e-04,3843.56
17,-0.388325,2.267421,0.827107,0.816767,0.606557,0.992117,0.752503,0.967593,0.146085,4.317059e-04,3863.82
18,-0.442785,2.145651,0.838203,0.833709,0.637087,0.990741,0.762012,0.967467,0.147393,4.047521e-04,3863.95
19,-0.539235,2.263169,0.837743,0.827102,0.651401,0.990616,0.750626,0.968969,0.147393,3.774607e-04,3824.93
20,-0.638781,2.319249,0.834464,0.834234,0.647523,0.990741,0.731732,0.968093,0.149953,3.500000e-04,3772.07
21,-0.720856,2.344604,0.836692,0.822222,0.646522,0.990866,0.756006,0.967843,0.149953,3.225393e-04,3806.22
22,-0.769845,2.320859,0.836842,0.852302,0.617192,0.991742,0.764640,0.958333,0.149953,2.952479e-04,3734.66
23,-0.813836,2.533199,0.828033,0.828478,0.645395,0.991867,0.701451,0.972973,0.151335,2.682941e-04,3830.18
24,-0.879576,2.398252,0.838894,0.834484,0.650275,0.991241,0.755380,0.963088,0.153491,2.418441e-04,3823.25
25,-0.925704,2.494407,0.834990,0.835736,0.643268,0.991366,0.737487,0.967092,0.153491,2.160608e-04,3784.90
26,-0.950244,2.452289,0.835941,0.831982,0.628003,0.991867,0.758759,0.969094,0.153491,1.911033e-04,3769.54
27,-1.006097,2.404416,0.837593,0.839740,0.630380,0.991491,0.755881,0.970470,0.153491,1.671255e-04,3767.88
28,-1.037908,2.376564,0.841096,0.844119,0.624124,0.991366,0.775776,0.970095,0.153491,1.442752e-04,3760.35
29,-1.061212,2.419304,0.839770,0.830355,0.619119,0.991992,0.786036,0.971346,0.153491,1.226932e-04,3756.20
30,-1.074266,2.451015,0.839069,0.827853,0.621997,0.991491,0.785410,0.968594,0.153491,1.025126e-04,3757.53
31,-1.096163,2.476851,0.839094,0.834234,0.624875,0.991491,0.774650,0.970220,0.153491,8.385791e-05,3768.17
32,-1.111691,2.464399,0.841296,0.837988,0.640265,0.990991,0.767518,0.969720,0.153491,6.684405e-05,3793.40
